Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0
-0.11196598792416144,0.9583742497825396,0.9559180941235607,-0.0515512685060351,0.967617292642381,0.08184388259542799,0.06619508566393992,-0.053774701976530385,0.8963388685337891,1.0372205635916025,-0.12197284473303373,-0.02632567634912254,0.1352855044858957,1.028307514006561,0.10650023919936114,0.06315179891183294,1.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,1.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0
-0.04595752845289921,0.9666216131739546,0.9724597361423064,-0.0017202993320670594,1.037516150865039,0.9730945869561863,0.9601013879981,-0.017990086601825644,1.0147549747288311,1.0402340788180606,-0.013739817215807254,0.03459571237129582,0.2253788402655012,0.9997840215422746,0.01934117858564803,-0.03467592836348939,1.0
-0.07161586512290229,0.913546311239033,0.9960994011450113,-0.07918269634213679,1.0671650681737403,0.9280378692091249,0.0609371993891081,-0.0020274201120420565,0.9884386332227423,0.9575619020093703,-0.029825584363662134,-0.025015144301706264,0.2871819723524498,0.9406932798656109,-0.011358941791412185,0.930113987096182,1.0
0.011105007930938127,0.9998381457428477,0.9547996046317245,-0.09542313378731408,0.1687376949939395,0.14549208881313966,-0.15511470305413974,-0.09861921132554229,1.139922512854974,1.0415737398387948,-0.0006754110811496112,0.051365801014511804,0.4267405939288793,0.9212059733797178,-0.010671360817151969,0.9543811622063065,1.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0
-0.0505559924717381,1.0041705449535547,0.9672189037229704,-0.013197323251271636,0.9808472882641817,0.958169455869624,0.9623620512466267,0.015712425928149032,1.0677725726707803,1.0332780538743482,0.061103926723115806,0.0188152558329126,0.19295931391909768,0.9951650122059941,-0.05038290370998606,0.03270945943616526,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0
-0.05265964451029642,1.0477577747638898,1.0351676126090563,0.030706659201612425,1.0264212207032635,-0.02544695032261225,0.02937041512550086,0.025149160364736814,1.0026791006608962,0.979563558204014,0.020462699849178798,-0.054292909161421224,0.2639299531880075,0.9670279855239674,0.9728921938475299,0.027811960452909342,1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0
-0.011796489577873296,0.9974552157533917,1.0174706361919081,-0.009278218165689994,0.986884751001261,0.013832843211431212,0.9929365384115185,0.00726620237390436,1.0112459051360139,0.9931179699876655,-0.010597703589919096,-0.005992547927659242,0.24806258752820842,1.001170219213863,0.012831519913915717,0.013363130734743234,1.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
0.032630204666204594,-0.018348539375742736,0.968198469546183,-0.014532980256494491,0.02114148370579686,1.0057086799552604,0.9838890988049349,0.9820443808340232,1.0017589052269842,-0.01752881177279305,0.023080025451425634,0.9888857824791916,-0.024099239687417555,0.9712654893718654,0.013361715185916499,0.9801624518757114,3.0
0.033605956603597185,-0.023183550768278525,0.9817632511726487,-0.016495306116930175,0.050172283989276714,0.95582741445508,0.9664455518224909,1.0107153747233792,0.9446524214982525,-0.0014553388173576003,-0.05599250026413648,0.98649542535217,0.03269819743919499,1.0560828653667413,0.033864601428540045,0.06678131383581462,3.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
-0.006907524983217444,0.00035145298653458914,0.9864567030467957,-0.0004774771595899062,-0.005690521159151247,1.0060594322121783,0.9994491916076993,1.006784924296216,0.9882239928936914,-0.015014718523846572,-0.013211264454304695,0.9886657367586138,-0.00987381675329382,1.0136171538483392,0.006135758386084209,0.015167825786146245,3.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
0.07453237682856137,-0.011651073947943416,0.9220654689448424,-0.04030168657354981,-0.04711710096723394,0.9835089449415088,0.06999228278455218,0.9853195438197502,1.0332506383822997,0.0563393731748903,-0.040898659089582304,1.067935746225153,-0.06047238806166859,0.9822344409371202,0.06889592194067662,0.07670433313476742,3.0
0.028612427488769302,0.011054405322140522,0.9745251749632078,0.004619252227019265,0.026668724000900885,0.9797196522517163,1.0200289874986723,1.0159303842426197,0.9727406020980783,-0.026024619909119133,-0.028603032839934775,0.996855993943051,0.008238537754902952,1.0035984208759456,-0.026286581226754004,0.9712725751197347,3.0
0.023515031378859404,-0.008766135728496847,1.0115305060967235,0.024415811378250704,0.009556182919728207,1.0047509702401796,0.9623313409282825,0.9629842208328931,0.9970751334932575,-0.030864248198410476,0.012612371015861629,1.0235164392802385,-0.023548604146229155,1.0203585301321723,-0.010975705050589611,0.03364822375125485,3.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
-0.009762731265631036,0.002096720727843805,1.0280300689883686,-0.014410263237378634,-0.05357314487996071,1.0329569288414002,1.074876110488954,1.0158411802009661,1.0222579131492866,-0.0659075577040501,-0.027553270525447975,0.9857813576703126,-0.03073280612000548,1.0469459449238572,-0.011324405989043463,0.924047439758796,3.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
0.006793620020644057,-0.03798043432197724,0.9664889919718336,-0.012158717381080071,-0.025676620510346894,1.0314768166396924,0.9685445179995554,1.0026630813617832,0.9701537230197095,-0.0025957086572191445,-0.03322115626540189,0.981551186353757,-0.006430560774061938,1.0259230676956048,-0.0069990916770786785,0.02428875141040572,3.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,6.0
0.007727880073870654,-0.002246035436977986,0.9870566698162264,0.00234224034005565,-0.006089778910885631,0.9847720789372957,0.9847854472288443,0.019123487129959562,0.015094811548804404,-0.015552522394717066,0.012049003489591278,0.0003679749077369972,0.7427374205809817,-0.014068400166225677,-0.014683990852334211,0.00976394932675074,6.0
-0.0033504070703278305,-0.02518521119026214,0.9869687338362029,-0.019703214716247506,-0.0021346334688665857,0.9648794884747163,0.9518273678730096,0.00783856578427059,-0.032560118367521665,0.007243876591352197,-0.04696514172422591,-0.03897048057506975,0.5420279594998628,0.00023890013862298433,-0.01060083004258645,0.005095720612403303,6.0
-0.027073179865746172,-0.018602780232762548,1.0290229506145183,-0.007492808646829217,-0.029380140353115165,0.0431008950520399,0.04526295510497279,0.05966579966225066,-0.018767766682222416,0.9226522423665747,-0.07380252832794137,-0.013290301352341424,0.05723191101102744,0.03062922591368097,0.07749326500701945,0.05649839141643123,6.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,6.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
-0.09386530483853762,0.047457044157062575,0.9290639178383977,0.10891411732200472,0.02370183658242677,1.0386796820420239,1.0468938058722403,-0.07987747788236327,-0.026512136591145753,-0.09319213155564927,0.03198143468723616,0.054207587016986615,0.8879210710005159,-0.11188073247900762,0.07564654899714622,0.9007344003451274,6.0
-0.027236493222219788,0.007882214536102067,0.9840425277214018,0.009377672581765636,-0.062057021127314954,0.9799378594422737,0.9460082866283501,0.0263647282594471,-0.006485757749638231,0.023481239178502332,0.00679329849753401,-0.03654193619812972,0.549210706329366,-0.028082075860068886,0.041715152627398534,0.02212366708321153,6.0
